/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2023-11-08 18:44:30, ERROR               DISM   DISM Provider Store: PID=1348 TID=4328 Failed to load the provider: C:\WINDOWS\system32\Dism\SiloedPackageProvider.dll. - CDISMProviderStore::Internal_GetProvider(hr:0x8007007e)
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_9_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_for_KB5044029_GM~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_1_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_2_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_3_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_4_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_5_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_6_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_7_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_8_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_9_for_KB5044029~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Package~31bf3856ad364e35~amd64~~10.0.19041.4780 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Package~31bf3856ad364e35~amd64~~10.0.19041.4894 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Package~31bf3856ad364e35~amd64~~10.0.19041.5011 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-merged-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-merged-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.4717 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.4842 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-Package~31bf3856ad364e35~amd64~~10.0.19041.4717 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-Package~31bf3856ad364e35~amd64~~10.0.19041.4842 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-WOW64-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-WOW64-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-Shared-WOW64-Package~31bf3856ad364e35~amd64~~10.0.19041.4355 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-WOW64-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-WOW64-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-ApplicationGuard-WOW64-Package~31bf3856ad364e35~amd64~~10.0.19041.4355 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Guest-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Guest-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Guest-Package~31bf3856ad364e35~amd64~~10.0.19041.4717 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Guest-Package~31bf3856ad364e35~amd64~~10.0.19041.4842 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Guest-Package~31bf3856ad364e35~amd64~~10.0.19041.5007 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Manager-merged-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Manager-merged-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Manager-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.4597 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Manager-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Manager-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Manager-Package~31bf3856ad364e35~amd64~~10.0.19041.4717 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Manager-Package~31bf3856ad364e35~amd64~~10.0.19041.4842 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Manager-Package~31bf3856ad364e35~amd64~~10.0.19041.5007 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Shared-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Shared-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Shared-Package~31bf3856ad364e35~amd64~~10.0.19041.4717 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Shared-Package~31bf3856ad364e35~amd64~~10.0.19041.4842 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Client-Shared-Package~31bf3856ad364e35~amd64~~10.0.19041.5007 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-merged-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-merged-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.4957 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-merged-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.1 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-merged-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.4957 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.4355 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.4957 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.4957 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.4957 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-Package~31bf3856ad364e35~amd64~~10.0.19041.4780 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-Package~31bf3856ad364e35~amd64~~10.0.19041.4894 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-DisposableClientVM-Package~31bf3856ad364e35~amd64~~10.0.19041.5011 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Guest-Gated-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Containers-Guest-Gated-Package~31bf3856ad364e35~amd64~es-ES~10.0.19041.3636 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
